City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
lexington,US,37.99,-84.48,-0.56,74,90,5.7,1606848563
murfreesboro,US,35.85,-86.39,3.33,59,90,3.6,1606848564
nenjiang,CN,49.18,125.22,-17.37,90,0,2.07,1606848564
comodoro rivadavia,AR,-45.87,-67.5,20.49,30,100,17.13,1606848564
shahpura,IN,27.38,75.97,14.42,35,0,0.61,1606848564
khatanga,RU,71.97,102.5,-1.13,98,100,11.47,1606848564
dikson,RU,73.51,80.55,-0.68,99,100,11.03,1606848564
mulege,MX,26.88,-111.98,24.72,19,0,4.28,1606848565
chagda,,,,,,,,
merauke,ID,-8.47,140.33,25.59,89,100,0.32,1606848565
lavrentiya,RU,65.58,-171,-13.09,91,0,6.24,1606848565
ruston,US,32.52,-92.64,11,25,1,4.1,1606848565
meulaboh,ID,4.14,96.13,25.1,89,55,1.98,1606848565
san cristobal,VE,7.77,-72.22,27.39,53,100,2.32,1606848565
yulara,AU,-25.24,130.99,20.3,49,100,9.88,1606848566
meyungs,,,,,,,,
qaanaaq,GL,77.48,-69.36,-19.36,78,99,3.36,1606848566
bolungarvik,,,,,,,,
akdepe,TM,42.06,59.38,-7.53,89,0,3.97,1606848566
nizhneyansk,,,,,,,,
beringovskiy,RU,63.05,179.32,-18.33,93,99,4.11,1606848566
new norfolk,AU,-42.78,147.06,9.44,71,6,3.13,1606848567
kimbe,PG,-5.55,150.14,24.14,88,53,1.44,1606848567
shepsi,RU,44.04,39.15,12.15,59,99,2.71,1606848567
rodrigues alves,BR,-7.74,-72.65,33.06,51,38,0.71,1606848567
tasiilaq,GL,65.61,-37.64,-7.27,76,100,10.36,1606848567
saskylakh,RU,71.92,114.08,-9.87,95,100,4.75,1606848567
zhezkazgan,KZ,47.8,67.71,-14.47,91,32,5.51,1606848567
cidreira,BR,-30.18,-50.21,21.44,70,28,6.81,1606848568
rudbar,AF,30.15,62.6,15.09,34,0,1.56,1606848568
caravelas,BR,-17.71,-39.25,27.71,68,0,4.72,1606848568
saldanha,ZA,-33.01,17.94,15.84,73,0,10.41,1606848447
kaitangata,NZ,-46.28,169.85,11.67,76,100,0.45,1606848568
bambous virieux,MU,-20.34,57.76,25.56,81,12,1.79,1606848568
severo-kurilsk,RU,50.68,156.12,-1,89,96,8.85,1606848569
san patricio,US,28.02,-97.52,19,72,1,4.6,1606848569
phan thiet,VN,10.93,108.1,23.4,83,0,5.14,1606848569
meiganga,CM,6.52,14.3,22.33,33,18,2.93,1606848569
cairns,AU,-16.92,145.77,24.44,94,5,3.13,1606848396
nikolskoye,RU,59.7,30.79,1.67,99,100,3.95,1606848569
korla,CN,41.76,86.15,-5.28,91,86,0.51,1606848569
lorengau,PG,-2.02,147.27,27.6,76,100,2.67,1606848570
mozarlandia,BR,-14.74,-50.57,35.37,29,63,1.14,1606848570
codrington,AU,-38.27,141.97,10.19,70,67,4.71,1606848570
uyuni,BO,-20.46,-66.83,20.76,22,9,3.45,1606848570
carnarvon,AU,-24.87,113.63,20.75,64,0,10.1,1606848570
pisco,PE,-13.7,-76.22,22.22,81,7,4.92,1606848570
tapaua,,,,,,,,
avarua,CK,-21.21,-159.78,25.53,82,0,5.71,1606848571
saint-philippe,RE,-21.36,55.77,20.56,95,38,6.41,1606848571
yumen,CN,40.28,97.2,-9.05,97,98,3.61,1606848571
clyde river,CA,70.47,-68.59,-11.96,87,100,4.77,1606848389
bousse,BF,12.66,-1.89,27.41,16,0,3.93,1606848571
fortuna,US,40.6,-124.16,12.78,79,0,1.79,1606848571
pevek,RU,69.7,170.31,-23.59,89,6,3.93,1606848571
havelock,US,34.88,-76.9,10.56,48,1,4.92,1606848571
mahebourg,MU,-20.41,57.7,25.56,81,11,1.79,1606848572
kamenskoye,,,,,,,,
satitoa,,,,,,,,
pemangkat,ID,1.17,108.97,26.17,81,100,0.3,1606848572
soyo,AO,-6.13,12.37,26.19,86,13,4.22,1606848572
saint anthony,US,45.02,-93.22,1.67,69,73,0.89,1606848572
fevralsk,,,,,,,,
sitka,US,57.05,-135.33,8.2,91,100,4.99,1606848573
sfantu gheorghe,RO,45.87,25.78,-4.44,82,0,0.45,1606848573
mys shmidta,,,,,,,,
airai,TL,-8.93,125.41,16.52,99,68,0.59,1606848573
toliary,,,,,,,,
kinango,KE,-4.14,39.32,24.32,92,100,2.07,1606848573
busselton,AU,-33.65,115.33,8.89,93,100,0.89,1606848573
fukue,JP,32.69,128.84,13.69,60,7,2.29,1606848574
taltal,CL,-25.4,-70.48,19.86,60,22,3.15,1606848574
luderitz,NA,-26.65,15.16,17.38,63,0,13.36,1606848574
umm lajj,SA,25.02,37.27,23.01,49,0,2.66,1606848574
mar del plata,AR,-38,-57.56,20.32,56,0,8.73,1606848300
broken hill,AU,-31.95,141.43,13.44,51,73,10.87,1606848574
oleksandrivka,UA,48.96,32.23,0.7,95,100,4.29,1606848574
pimentel,PE,-6.84,-79.93,21.35,73,42,6.54,1606848575
penzance,GB,50.12,-5.54,8.33,87,75,3.1,1606848575
praia,CV,14.92,-23.51,23.6,71,100,5.46,1606848575
bathsheba,BB,13.22,-59.52,26.97,75,39,4.97,1606848575
rundu,NA,-17.93,19.77,26.84,48,100,2.73,1606848575
guerrero negro,MX,27.98,-114.06,24.33,19,0,1.65,1606848575
kodiak,US,57.79,-152.41,7,75,90,7.7,1606848575
lucapa,AO,-8.42,20.74,18.95,99,100,0.71,1606848576
necochea,AR,-38.55,-58.74,31.11,24,0,3.74,1606848576
sobolevo,RU,54.43,31.9,-4.15,97,0,1.73,1606848576
pringsewu,ID,-5.36,104.97,22.86,91,54,1.44,1606848576
sao joao da barra,BR,-21.64,-41.05,25.59,82,83,5.17,1606848576
edea,CM,3.8,10.13,25.08,86,68,1.08,1606848576
grand river south east,,,,,,,,
grindavik,IS,63.84,-22.43,2.22,84,100,12.07,1606848577
mosquera,CO,4.71,-74.23,16.39,84,88,1.88,1606848577
chumikan,RU,54.72,135.31,-19.06,85,58,11.27,1606848577
wilmington,US,34.23,-77.94,10.56,46,0,2.24,1606848474
rumonge,BI,-3.97,29.44,22.94,74,98,0.88,1606848577
hithadhoo,MV,-0.6,73.08,28.07,70,98,4.41,1606848577
lasa,IT,46.62,10.7,0.56,82,100,1.33,1606848578
houma,US,29.6,-90.72,13.33,45,0,0.89,1606848341
harper,LR,4.38,-7.72,26.16,82,62,2.65,1606848578
kilrush,IE,52.64,-9.48,7.78,92,97,5.09,1606848578
jian,CN,27.12,114.98,9.83,77,100,3.93,1606848578
cockburn town,TC,21.46,-71.14,26.06,62,15,2.15,1606848443
laguna,US,38.42,-121.42,12.22,67,0,1.58,1606848578
sokoto,NG,13.06,5.24,27.33,16,0,4.37,1606848579
kapaa,US,22.08,-159.32,23.63,71,0,0.8,1606848297
kavieng,PG,-2.57,150.8,27.65,76,100,4.32,1606848579
atambua,ID,-9.11,124.89,24.36,79,55,1.17,1606848579
leningradskiy,RU,69.38,178.42,-20.4,86,0,1.95,1606848579
shaoguan,CN,24.8,113.58,9,86,0,0.91,1606848579
chuy,UY,-33.7,-53.46,22.1,60,34,5.2,1606848579
loandjili,CG,-4.76,11.86,25.94,87,38,4.03,1606848580
kearney,US,40.7,-99.08,7,33,1,5.7,1606848366
yellowknife,CA,62.46,-114.35,-13.33,95,100,3.13,1606848580
caucaia,BR,-3.74,-38.65,27.22,74,0,7.6,1606848580
east london,ZA,-33.02,27.91,19,55,20,12.9,1606848580
torbay,CA,47.67,-52.73,5,87,100,1.79,1606848580
dinsor,,,,,,,,
rio gallegos,AR,-51.62,-69.22,12.75,38,100,16.81,1606848453
ahipara,NZ,-35.17,173.17,15.73,73,2,1.56,1606848581
nola,IT,40.92,14.53,11.67,81,98,1.38,1606848581
tiksi,RU,71.69,128.87,-19.23,89,100,10.47,1606848581
coruripe,BR,-10.13,-36.18,27.55,69,56,5.95,1606848581
barentsburg,,,,,,,,
victoria,HK,22.29,114.16,19.44,68,0,4.05,1606848303
port-gentil,GA,-0.72,8.78,26.62,83,100,6.91,1606848415
byron bay,AU,-28.65,153.62,21.67,96,1,6.37,1606848582
aktau,KZ,43.65,51.2,3.32,73,98,7.43,1606848582
isla aguada,MX,18.78,-91.47,24.02,63,76,2.79,1606848582
marawi,PH,8,124.29,25,91,100,1.79,1606848582
rocha,UY,-34.48,-54.33,24.81,44,0,4.07,1606848582
lolua,,,,,,,,
diamantino,BR,-14.41,-56.45,34.96,38,77,2.21,1606848582
hasaki,JP,35.73,140.83,7.22,81,100,0.89,1606848583
acapulco,MX,16.86,-99.89,29.49,62,69,4.14,1606848533
abu dhabi,AE,24.47,54.37,24.2,71,0,3.79,1606848583
hegang,CN,47.4,130.37,-13.48,91,0,3.21,1606848583
yerbogachen,RU,61.28,108.01,-14.73,93,100,5.22,1606848583
berlevag,NO,70.86,29.09,-4,68,20,6.2,1606848583
aykhal,RU,66,111.5,-11.68,93,100,6.34,1606848583
moree,AU,-29.47,149.85,29.52,33,36,4.28,1606848584
trairi,BR,-3.28,-39.27,28.89,63,1,6.86,1606848584
denizli,TR,37.84,29.07,9.75,62,7,0.64,1606848584
ancud,CL,-41.87,-73.82,12.78,96,100,6.71,1606848584
malindi,KE,-3.22,40.12,26.91,83,59,4.76,1606848584
mehamn,NO,71.04,27.85,0.17,91,100,7.97,1606848584
nyurba,RU,63.28,118.33,-14.58,93,100,4.3,1606848585
mrirt,,,,,,,,
coihaique,CL,-45.58,-72.07,9.45,79,89,6.43,1606848585
bredasdorp,ZA,-34.53,20.04,14.44,76,84,3.6,1606848585
nanortalik,GL,60.14,-45.24,-2.14,85,38,17.85,1606848585
karauzyak,,,,,,,,
ust-koksa,RU,50.27,85.61,-16.69,82,0,0.08,1606848586
klyuchi,RU,52.27,79.17,-16.41,91,0,2.29,1606848586
belyy yar,RU,53.6,91.39,-10.68,94,100,0.64,1606848586
grand forks,US,47.94,-97.43,1.11,68,1,4.1,1606848519
azul,AR,-36.78,-59.86,26.67,34,0,1.79,1606848527
kalach-na-donu,RU,48.69,43.53,-3.9,86,98,6.65,1606848586
sernovodsk,RU,43.31,45.16,3.66,81,100,1.01,1606848587
iqaluit,CA,63.75,-68.51,-15.78,82,4,2.17,1606848353
lompoc,US,34.64,-120.46,22.22,48,0,3.61,1606848293
manfredonia,IT,41.63,15.91,10,74,44,1.34,1606848587
dingle,PH,11,122.67,24.75,89,100,4.52,1606848587
faanui,PF,-16.48,-151.75,26.98,78,0,7.18,1606848587
sorvag,,,,,,,,
port blair,IN,11.67,92.75,27.35,79,100,5.34,1606848587
areosa,PT,41.72,-8.86,16.67,69,99,2.95,1606848588
sao gabriel da cachoeira,BR,-0.13,-67.09,28.18,79,100,1.37,1606848588
dabakala,CI,8.37,-4.43,28.22,44,74,2.27,1606848588
yangzhou,CN,32.4,119.44,6.67,88,100,3.88,1606848588
attawapiskat,,,,,,,,
kichera,RU,55.94,110.1,-12.86,88,100,0.69,1606848588
bambanglipuro,ID,-7.95,110.28,25.33,83,100,1.15,1606848588
kawana waters,,,,,,,,
prince albert,CA,53.2,-105.77,-1.49,96,95,5.44,1606848564
kungurtug,RU,50.6,97.52,-18.42,88,99,0.34,1606848589
masjed-e soleyman,,,,,,,,
saiha,IN,22.48,92.97,15.27,69,1,1.53,1606848589
zyryanka,RU,65.75,150.85,-25.14,83,43,4.73,1606848589
oranjemund,NA,-28.55,16.43,15.8,76,0,10.57,1606848589
tessalit,ML,20.2,1.01,25.59,17,100,4.82,1606848590
kahului,US,20.89,-156.47,22.22,77,0,3.13,1606848590
mount isa,AU,-20.73,139.5,28.36,55,3,3.57,1606848590
alma,CA,48.55,-71.65,3,93,90,3.1,1606848328
roebourne,AU,-20.78,117.13,27.84,33,0,0.96,1606848590
aksay,RU,47.26,39.87,-2.22,79,100,9.83,1606848590
tapes,BR,-30.67,-51.4,23.01,65,0,6.21,1606848590
maniitsoq,GL,65.42,-52.9,-9.11,93,98,3.61,1606848591
sorland,NO,67.67,12.69,2,55,90,3.6,1606848591
burnie,AU,-41.07,145.92,8.33,86,10,3.58,1606848591
urucara,BR,-2.54,-57.76,34.68,43,3,1.92,1606848591
hay river,CA,60.82,-115.8,-4.69,92,39,5.44,1606848591
esperance,AU,-33.87,121.9,11.71,75,1,4.5,1606848591
saint-pierre,RE,-21.34,55.48,20.56,95,0,1.36,1606848591
pathein,MM,16.78,94.73,22.43,76,98,1.47,1606848592
margate,GB,51.38,1.39,7.22,80,85,1.79,1606848592
adre,TD,13.47,22.2,20.15,23,0,1.23,1606848592
kintampo,GH,8.06,-1.73,27.59,48,60,1.44,1606848592
sakakah,SA,29.97,40.21,15.64,74,0,6.46,1606848563
padang,ID,-0.95,100.35,24.51,63,15,1.9,1606848592
chokurdakh,RU,70.63,147.92,-20.96,91,94,4.91,1606848592
pouso alegre,BR,-22.23,-45.94,29.44,56,100,4.47,1606848448
ajdabiya,LY,30.76,20.23,17.37,73,0,4.22,1606848593
vaitupu,,,,,,,,
rahon,IN,31.05,76.12,19.44,57,0,1.72,1606848593
kasungu,MW,-13.03,33.48,22.85,62,71,1.63,1606848593
nizwa,OM,22.93,57.53,19.1,69,0,1.78,1606848593
bengkulu,ID,-3.8,102.27,24.29,79,100,1.91,1606848593
joshimath,IN,30.57,79.57,7.71,43,0,2.68,1606848594
jalu,LY,29.03,21.55,16.21,64,0,3.96,1606848594
shimoda,JP,34.67,138.95,7.22,81,100,5.56,1606848594
maloy,NO,61.94,5.11,4,80,0,4.1,1606848594
serpneve,UA,46.3,29.02,0.98,95,100,3.86,1606848594
maba,CN,24.68,113.6,9.05,86,0,1.18,1606848594
vila velha,BR,-20.33,-40.29,27.16,72,22,7.45,1606848594
aripuana,BR,-9.17,-60.63,32.95,50,100,1.21,1606848595
katobu,ID,-4.94,122.53,25.57,88,100,0.38,1606848595
chak jhumra,PK,31.57,73.18,16.65,28,0,0.89,1606848595
longyearbyen,SJ,78.22,15.64,-12,66,75,4.6,1606848345
auki,SB,-8.77,160.7,25.75,85,82,2.23,1606848595
mayo,US,38.89,-76.51,8.89,52,90,8.7,1606848595
vardo,NO,70.37,31.11,-4,79,40,5.1,1606848358
ayan,RU,56.45,138.17,-13.58,84,100,8.01,1606848596
virginia beach,US,36.85,-75.98,10,49,3,1.34,1606848556
kyaukse,MM,21.6,96.13,19.72,85,98,1.19,1606848596
sovetskaya,RU,44.78,41.17,3.32,80,0,7.77,1606848596
skagastrond,,,,,,,,
tabou,CI,4.42,-7.35,25.99,84,44,2.75,1606848596
zhigansk,RU,66.77,123.37,-23.61,90,100,8.76,1606848596
marigot,MF,18.07,-63.08,27.78,66,35,2.24,1606848597
painesville,US,41.72,-81.25,0.56,99,90,10.3,1606848597
chajul,GT,15.49,-91.03,12.07,95,98,1.44,1606848597
kongolo,CD,-5.38,27,21.78,92,100,0.63,1606848597
luanda,AO,-8.84,13.23,25.72,84,66,5.72,1606848469
pacific grove,US,36.62,-121.92,11.67,67,0,3.27,1606848597
komsomolskiy,UZ,40.43,71.72,4.59,72,100,1.18,1606848597
haapiti,PF,-17.57,-149.87,27.34,76,0,7.17,1606848598
hambantota,LK,6.12,81.12,25.55,84,100,2.37,1606848598
gostilitsy,RU,59.75,29.62,2.22,89,100,0.89,1606848598
mazagao,BR,-0.12,-51.29,31.28,58,94,2.55,1606848598
mapiripan,CO,2.89,-72.13,28.88,77,100,2.09,1606848598
kerema,PG,-7.96,145.78,25.44,84,100,1.4,1606848598
tabas,IR,33.6,56.92,14.44,45,66,1.63,1606848432
bubaque,GW,11.28,-15.83,28.3,68,35,7.38,1606848599
azimur,,,,,,,,
la asuncion,VE,11.03,-63.86,27.93,74,93,7.54,1606848599
yeppoon,AU,-23.13,150.73,23.24,91,33,2.77,1606848599
campina grande do sul,BR,-25.31,-49.06,20,86,80,2.35,1606848599
siva,EG,29.2,25.52,16.09,67,22,3.96,1606848599
georgetown,MY,5.41,100.34,24.79,86,100,2.67,1606848589
crixas,BR,-14.55,-49.97,34.63,30,16,3.14,1606848600
klaksvik,FO,62.23,-6.59,8,87,2,6.2,1606848600
saint-augustin,CA,51.23,-58.65,1.94,96,100,3.05,1606848600
edmonton,CA,53.55,-113.47,-1.11,57,0,3.42,1606848501
ballina,AU,-28.87,153.57,21.67,98,2,0.89,1606848600
kuche,,,,,,,,
lima,PE,-12.04,-77.03,21.67,78,93,2.24,1606848601
monrovia,LR,6.3,-10.8,26.56,84,25,2.55,1606848584
homer,US,59.64,-151.55,6.11,79,100,1.34,1606848601
shevchenkove,UA,49.7,37.17,-1.02,94,100,7.11,1606848601
mitu,CO,1.2,-70.17,24.24,96,100,1.98,1606848600
mangrol,IN,21.12,70.12,25.32,52,0,4.62,1606848433
upernavik,GL,72.79,-56.15,-14.08,89,93,3.62,1606848601
port elizabeth,ZA,-33.92,25.57,14.44,85,18,2.68,1606848602
umea,SE,63.83,20.26,-5,92,0,1.5,1606848524
naze,JP,28.37,129.48,18.7,82,89,6.84,1606848602
narsaq,GL,60.92,-46.05,-6.75,78,0,7.07,1606848602
port moresby,PG,-9.44,147.18,25.17,86,100,2.31,1606848603
ponta delgada,PT,37.73,-25.67,16.88,79,64,13.07,1606848603
auburn,US,47.31,-122.23,6.67,80,0,1.82,1606848603
bowen,AU,-20.02,148.23,25.44,85,100,4.55,1606848310
port lincoln,AU,-34.73,135.87,13.33,63,82,4.32,1606848603
amalapuram,IN,16.58,82.02,21.52,79,63,2.16,1606848604
palana,RU,59.12,159.97,-13.15,89,100,2.32,1606848604
sioux lookout,CA,50.1,-91.92,-1.36,89,42,2.9,1606848604
charters towers,AU,-20.1,146.27,21.23,97,79,3.5,1606848604
samusu,,,,,,,,
eydhafushi,MV,5.1,73.07,28.18,76,100,3.68,1606848604
bosaso,SO,11.28,49.18,25.93,74,11,3.23,1606848604
makarov,RU,48.63,142.8,-9.62,89,23,2.55,1606848605
takapau,NZ,-40.03,176.35,4.44,94,47,1.92,1606848605
alugan,PH,12.22,125.48,25.55,92,100,3.16,1606848605
stepnogorsk,KZ,52.35,71.89,-18.87,93,49,3.18,1606848605
vuktyl,RU,63.86,57.31,-6.66,93,0,6.57,1606848605
kalabo,ZM,-14.97,22.68,23.55,76,100,1.11,1606848605
san luis,AR,-33.3,-66.34,29.03,35,58,1.37,1606848605
boa vista,BR,2.82,-60.67,31.89,56,29,3,1606848500
canora,CA,51.63,-102.43,0.84,98,100,5.11,1606848606
paamiut,GL,61.99,-49.67,-3.36,88,82,7.24,1606848606
dunmore town,BS,25.5,-76.65,21.34,75,100,9.12,1606848606
kenai,US,60.55,-151.26,0.56,94,100,4.17,1606848606
terrace,CA,54.52,-128.6,5,89,97,1.22,1606848477
gigmoto,PH,13.78,124.39,26.75,87,100,3.54,1606848607
ambon,ID,-3.7,128.18,28.89,89,100,0.45,1606848607
mezhova,UA,48.25,36.73,1.78,86,100,6.24,1606848607
clinton,US,42.59,-82.92,-1.11,82,100,1.34,1606848607
acari,PE,-15.43,-74.62,25.04,54,84,4.81,1606848607
dali,CN,25.7,100.18,7.51,81,13,1.64,1606848607
bjornevatn,NO,69.67,29.98,0,89,0,5.1,1606848608
heihe,CN,50.24,127.49,-16.58,90,0,1.18,1606848608
sibolga,ID,1.74,98.78,24.86,82,100,1.59,1606848608
kawambwa,ZM,-9.79,29.08,18.62,93,100,1.34,1606848439
egvekinot,RU,66.32,-179.17,-19,87,0,3.31,1606848608
silopi,TR,37.25,42.47,10.87,55,0,0.95,1606848608
tahta,EG,26.77,31.5,13.51,41,0,2.35,1606848392
geraldton,AU,-28.77,114.6,17.79,43,0,6.57,1606848609
westport,US,41.14,-73.36,11.67,59,18,0.89,1606848488
cherskiy,RU,68.75,161.3,-26.3,89,71,3.32,1606848609
saint-marc,HT,19.11,-72.69,27.48,61,48,2.19,1606848609
katsuura,JP,35.13,140.3,10,73,100,5.31,1606848609
prescott,US,34.54,-112.47,13.33,16,0,1.79,1606848610
carballo,ES,43.21,-8.69,11.67,78,100,3.16,1606848610
zabol,AF,32.25,67.25,8.31,48,0,1.59,1606848610
olafsvik,IS,64.89,-23.71,3.59,79,82,7.35,1606848610
cabo san lucas,MX,22.89,-109.91,25,61,0,2.24,1606848319
mackay,AU,-21.15,149.2,24.44,90,91,3.32,1606848610
nome,US,64.5,-165.41,-16.74,91,0,2.69,1606848382
ewa beach,US,21.32,-158.01,23.33,66,12,1.72,1606848556
barawe,,,,,,,,
armacao dos buzios,,,,,,,,
alvarado,MX,18.77,-95.77,23.89,49,100,3.13,1606848611
esmeralda,CU,21.85,-78.12,28.38,54,45,2.41,1606848611
mareeba,AU,-17,145.43,24.44,93,17,1.53,1606848611
souillac,MU,-20.52,57.52,25.56,81,19,1.79,1606848611
matay,EG,28.42,30.78,15.09,56,38,1.79,1606848612
ayagoz,KZ,47.97,80.44,-17.83,90,5,6.31,1606848612
road town,VG,18.42,-64.62,27.78,76,22,3.58,1606848612
yelizovo,RU,53.19,158.38,-9.02,86,100,3.85,1606848612
antanifotsy,MG,-19.65,47.32,17.67,87,80,0.85,1606848612
sorong,ID,-0.88,131.25,25.97,80,100,2.26,1606848612
partizanskoye,RU,55.5,94.39,-10.74,93,100,4.92,1606848613
nyon,CH,46.38,6.24,3,86,75,1.5,1606848428
sisimiut,GL,66.94,-53.67,-7.29,91,99,4.02,1606848613
belgrade,RS,44.8,20.47,0.41,89,26,5.27,1606848342
natal,BR,-5.79,-35.21,28.15,66,0,6.3,1606848588
longlac,,,,,,,,
louisbourg,,,,,,,,
caxito,AO,-8.58,13.66,25.78,80,79,2.19,1606848613
los llanos de aridane,ES,28.66,-17.92,15,87,15,4.89,1606848422
tura,IN,25.52,90.22,17.13,87,0,1.31,1606848614
the valley,AI,18.22,-63.06,27.78,66,49,2.24,1606848614
chara,RU,56.91,118.26,-17.46,80,100,1.83,1606848614
ouallam,NE,14.32,2.09,29.17,14,0,4.33,1606848614
rovereto,IT,45.89,11.04,3.89,88,96,2.12,1606848614
zdvinsk,RU,54.7,78.66,-17.48,91,0,2.32,1606848614
osoyoos,CA,49.03,-119.45,-1.67,84,0,1.34,1606848615
devaprayag,IN,30.15,78.62,12.65,50,0,1.46,1606848615
talcahuano,CL,-36.72,-73.12,15.49,63,0,9.32,1606848615
narsimhapur,IN,22.95,79.2,15.55,40,0,0.53,1606848615
ludza,LV,56.55,27.72,-1.95,98,100,2.38,1606848615
paragould,US,36.06,-90.5,7.22,49,0,2.43,1606848615
alappuzha,IN,9.49,76.33,26.5,76,100,1.57,1606848615
alibag,IN,18.64,72.88,26.71,77,100,2.53,1606848616
umzimvubu,,,,,,,,
